scientific_name,family,genre,alternative_scientific_names,ca_common_name,description,additional_info,islands,habitat,edibility,es_common_name
Coprinus disseminatus (Bull.) Gray,Coprinaceae,Coprinus,,,"Pequeña seta que sale en grupos de color variable, de blanquecino crema a blanco grisáceo. Tiene un sombrero de hasta 1,5 cm, primero globoso, acampanado pero nunca abierto del todo. Las láminas no son delicuescentes , ascendentes, un poco ventrudas, blanquinoses primero y posteriormente negras por la caída de las esporas pero siempre con la arista más blanquecina. El pie es cilíndrico y vacío, frágil, blanquecino y un poco hirsuto. Las esporas son negruzcas en masa, elípticas, de 7-10 x 4-5 micras",Crece en gran número de individuos juntos y a diferencia de los de su grupo no es delicuescente,"['Ibiza', 'Mallorca', 'Menorca']","['Sobre plantas leñosas', 'Zones humides']",Indiferent,
Coprinus micaceus (Bull.) Fr,Coprinaceae,Coprinus,,"['Bolet de fems', 'Bolet de tinta']","Esta seta presenta un sombrero en forma de dedal que llega a los 2 a 3 cm de altura por 1,5 a 2,5 cm de diámetro basal. La superficie es acanalada, de color crema castaño más oscuro en el centro. Su nombre hace referencia al polvillo que lo cubre cuando es joven que recuerda el mineral mica y no es más que los restos del velo general. Las láminas son numerosas, blanquecinas, después grisáceas y finalmente negras por las esporas. El pie es blanquecino, cilíndrico, de 5 a 10 cm x 3 a 7 mm, de color blanco, liso y muy frágil. Las esporas son negras en masa, elípticas, de 7-10 x 4-5 micras",Frecuente en Mallorca. Es una seta muy vistosa cuando es joven y llama la atención por la gran cantidad de ejemplares que viven juntos,['Mallorca'],"['Pastos, prados y jardines', 'Sobre madera muerta, piñas, tocones', 'Sobre plantas leñosas']",Indiferent,['Coprino micáceo']
Coprinus picaceus (Bull.) Gray,Coprinaceae,Coprinus,,"['Bolet de fems', 'Bolet de tinta']","Seta con sombrero en forma cilíndrico-ovalada que acontece acampanado, de 4-10 cm de altura y de 5 a 8 cm de diámetro. Es de color marronoso, con estrías radiales bien marcadas y cubierto parcialmente de grandes placas escamosas de color blanco que son fácilmente arrastradas por la lluvia. Las láminas están libres, apretadas, al principio blancas, después rosadas y finalmente negras y delicuescentes. El pie es blanco, cilíndrico, finamente tomentoso y de 10-25 x 1-2 cm. Las esporas son negras en masa, ovaladas, con un poro germinativo de 10,5-18 x 10-13 micras","Suele encontrarse en grupos de varios ejemplares y es fácil ver que de algunos de ellos sólo queda el pie, puesto que el sombrero se ha convertido en una especie de tinta","['Mallorca', 'Menorca']","['Alzinar', ""Garriga d'ullastre"", 'Pinares y otras coníferas']",Indiferent,['Coprino blanquinegro']
Panaeolus sphinctrinus (Fr.) Quél,Coprinaceae,Panaeolus,,,"Este género posee siempre los sombreros en forma de dedal, muy delicados y poco carnosos. Esta especie tiene el sombrero de 2 a 4 cm de diámetro de color tostado, gris marronoso pasando posteriormente a gris metálico con la edad. Puede presentar pequeñas manchas o estar aureolado en tiempo seco. Las láminas son finas, muy espaciadas, adnatas y de color inicialmente gris verdoso, después café con leche y finalmente negruzcas con la arista más blanca. El pie es largo y ondulado, cilíndrico, algo peludo y de color parecido al sombrero. Las esporas son negras en masa, elípticas con un poro bien marcado, de 15-17 x 9-11 micras",Es frecuente en su hábitat. Sospechoso de producir intoxicaciones y alucinaciones,"['Mallorca', 'Menorca']",['Excrements'],Tòxic,['Paneolo alucinógeno']
Psathyrella halophila Esteve-Rav. & Enderle,Coprinaceae,Psathyrella,,,"Pequeña seta con un sombrero de hasta 2 cm de diámetro, primero paraboloide, pasando a convexo y con la edad más o menos plano. Puede presentar un mamellón poco marcado. Es higrófano y de color beige. Las láminas son adnatas, un poco ventrudas, inicialmente beige y después coloreadas por la caída de las esporas con la arista de color blanquecino. El pie es cilíndrico, blanquecino, cubierto de pequeñas escamas hacia arriba y con restos de velo hacia la base. Las esporas son oscuras en masa, en forma de judía y un claro poro germinativo, de 9-11,5 x 5-6,5 micras",Seta encontrada por primera vez en Muro,['Mallorca'],"['Dunes', 'Sobre plantas herbáceas', 'Zones humides']",Indiferent,
Cortinarius caligatus Malençón,Cortinariaceae,Cortinarius,,,"Seta de color blanquecino a marrón claro. Tiene un sombrero de hasta 8 cm de diámetro, primero hemisférico y después se va abriendo. Tiene el margen enrollado largo tiempo. Debajo del sombrero se encuentran numerosas láminas muy apretadas. De color blanquecino y aristas violáceas. El pie es alargado hacia la parte superior y de grueso a fusiforme en la mitad inferior. Presenta zonas con escamas y restos de cortina. Las esporas son de color yema en masa, con forma de almendra, de 10-12 x 5-6,5 micras","Se recomienda el consumo con mucha precaución, puesto que hay Cortinarius muy parecidos que son tóxicos",['Mallorca'],['Alzinar'],Indiferent,
Cortinarius crystalinus Fr,Cortinariaceae,Cortinarius,,,"Seta con un sombrero de hasta 5 cm de diámetro, primero globuloso, después hemisférico con la parte central elevada y al mismo tiempo su centro un poco hundido. Es viscoso en tiempo húmedo y es de color blanco inicialmente, después crema y finalmente de color tierra. Las numerosas láminas de debajo están apretadas, son adnatas decurrentes y de color pálido volviéndose de color canela o color azafrán por la caída de las esporas. Éstas son elípticas, de 5-7 x 3,7-5 micras. El pie es fusiforme, más fino en la parte superior, curvado y en punta hacia la base, viscoso y de color blanco reluciente que puede amarillear cuando se toca. La cortina es sencilla, fugaz, de color blanco, que queda en forma de filamentos sobre el pie y toma el color de las esporas",No es comestible por su gusto amargo,['Mallorca'],"['Alzinar', 'Pinares y otras coníferas']",Indiferent,
Cortinarius elatior Fr,Cortinariaceae,Cortinarius,,,"El sombrero de esta seta puede medir hasta 14 cm de diámetro, primero acampanado que poco a poco se abre y de color marrón ocre y a veces verde oliva. Tiene el margen estriado de forma bien clara. Las numerosas láminas de debajo tienen muchas lamelas conectadas entre sí y son de color arcilla que con el tiempo se oscurecen. El pie es largo, fusiforme, con la parte superior estriada y con tonos violáceos. Presenta un decorado característico en forma de ziga-saga que son restos de la cortina. El resto del pie es blanco. Las esporas son de color óxido en masa, con berrugas, en forma de almendra alargada, de 13-15 x 7-9 micras","Como no es de gran calidad, se suele comer mesclada con otras setas",['Mallorca'],['Alzinar'],Indiferent,
Cortinarius infractus Berk,Cortinariaceae,Cortinarius,,,"Esta seta se caracteriza por presentar sombreros viscosos y pies secos. Presenta un típico sombrero convexo con los contornos bruscamente curvados hacia abajo, de 2 a 8 cm de diámetro, de color variable entre marrón, marrón grisáceo o gris con el contorno curvado más oscuro. Tiene numerosas láminas, un poco apretadas de color marrón oliva. El pie es irregular, de cilíndrico a bulboso y corto, de 2,5 a 10 x 1 a 2,5 cm de color blanco grisáceo, a veces con reflejos lilas en la parte superior. Las esporas son de color yema en masa, subglobuloses y berrugoses, de 6,5-9 x 5-7,5 micras",No comestible por ser amargo,"['Ibiza', 'Mallorca', 'Menorca']","['Alzinar', 'Pinares y otras coníferas']",Indiferent,['Cortinario de margen recurvado']
Cortinarius ionochlorus Maire,Cortinariaceae,Cortinarius,,,"Característica seta con sombrero de color verde oliva, viscoso en tiempo húmedo y de 3 a 9 cm de diámetro. Primero éste es muy convexo y posteriormente se abre y se aplana. Debajo de éste las láminas, numerosas y apretadas, son lilas y posteriormente teñidas de color ocre por las esporas. El pie es corto y se engruesa hacia la base, de 3 a 4 cm x 1 a 2 cm de color amarillo tirando a verdoso. Este presenta abundantes restos de cortina también teñida por la caída de las esporas. Las esporas son de color óxido a cobrizo en masa, y con forma de almendra, con verrugas, de 10-11 x 5-6 micras",Especie muy vistosa,['Mallorca'],['Alzinar'],Indiferent,['Cortinario verde de láminas lilas']
Cortinarius trivialis J.E. Lange,Cortinariaceae,Cortinarius,,,"Seta con sombrero de 5 a 10 cm de diámetro, de forma variable, acampanado, convexo y obtuso, y abierto y plano, dependiendo de la edad y frecuentemente con un mamellón central. Es de color terroso a violáceo, mucilaginoso y brillante en tiempo húmedo. Las láminas son pálidas y se vuelven color óxido por la caída de las esporas. Son pequeñas, desiguales, escotadas y separables. El pie es alto, robusto, estriado y cubierto por una substancia mucilaginosa, blanquecina, que se fragmenta en unas escamas superpuestas sobre un fondo amarillo sucio. Las esporas son de color óxido en masa, verrugosas, de 10-15 x 6-8 micras",Seta frecuente,"['Cabrera', 'Dragonera', 'Formentera', 'Ibiza', 'Mallorca', 'Menorca']","['Alzinar', 'Pinares y otras coníferas']",Indiferent,
Crepidotus mollis (Schaeff.: Fr) P. Kumm,Cortinariaceae,Crepidotus,,,"Seta parecida a una concha, de color amarillento oliváceo a marrón oliva, con el margen más claro y con un diámetro de 1 a 4 cm. Las láminas son pálidas y pasan a color marronáceo y las esporas son de color marrón, de elipsoidales a amigdaliformes, lisas, de 6,5-9 x 4,5-6 micras",,['Mallorca'],"['Sobre madera muerta, piñas, tocones']",Indiferent,['Crepidoto blando']
Galerina hypnorum (Schrank) Kühner,Cortinariaceae,Galerina,,,"Seta con un pequeño sombrero amarillo ocre de 2 a 3 cm de diámetro, acampanado con el margen girado hacia arriba, higrófano y con el margen algo estriado. Las láminas son adnatas, de color parecido al del sombrero o un poco más claras. El pie es largo y delgado, con zonas blanquecinas y las esporas ocres en masa, son elípticas, algo berrugosas, de 9-12 x 5-7 micras",Es frecuente en los bosques con mucho musgo,"['Mallorca', 'Menorca']",,Indiferent,
Galerina marginata (Batsch) Kühner,Cortinariaceae,Galerina,,,"Seta con un sombrero de coloración marrón ámbar a marrón rojizo, que pasa a amarillo cuando se seca, de 1 a 4 cm de diámetro. Debajo de este se encuentran las láminas de color amarillo marronáceo, densas, de sinuadas a rectamente adnadas. El pie es de color parecido al sombrero con un anillo membranoso poco desarrollado. Las esporas son de color marrón, amigdaliformes, con pequeñas berrugas, de 7-10 x 4,5-6,5 micras","És tòxic, pot provocar enverinements mortals",,"['Sobre madera muerta, piñas, tocones']",Tòxic,
Galerina uncialis (Britzelm.) Kühner,Cortinariaceae,Galerina,,,"Seta amarilla dorada todo ella con un sombrero de hasta 3 cm de diámetro, un poco deprimido en el centro y posteriormente casi hundido. Es ligeramente viscoso y higrófano. Las láminas pueden ser adnades o escotadas y ventrudas. El pie es largo y recto en la parte superior, siendo ondulado hacia la base y más grueso con restos micelares. También se pueden observar restos del anillo cortiniforme. Las esporas son ocre oscuro en masa, elípticas, ornamentadas; de 8-8,5 x 6 micras",,['Mallorca'],['Pinares y otras coníferas'],Indiferent,
Gymnopilus spectabilis (Fr.) Singer,Cortinariaceae,Gymnopilus,"['Pholiota spectabilis (Fr.) Guillet', 'Pholiota aurea Quél']",,"Es el mayor representante del género con un sombrero que pasa de convexo a casi plano, de 5 a 15 cm de diámetro de color anaranjado, con superficie seca. Las láminas están poco apretadas, dentadas y son del mismo color que el sombrero. El pie es grueso y curvado, cilíndrico, atenuado en la base, de 8 a 10 x 1 a 2,5 cm. Presencia de anillo, éste es persistente, membranoso y de color amarillo, quedando teñido de color ocre por la caída de las esporas. Estas son ocres en masa, con forma de almendra, y con verrugas, de 7-9,5 x 5-6 micras",Se le atribuyen propiedades alucinógenas y en Japón es conocido como la seta de la risa. No es demasiado frecuente pero llama la atención por su color y su tamaño,"['Mallorca', 'Menorca']","['Pinares y otras coníferas', 'Sobre madera muerta, piñas, tocones']",Indiferent,['Gimnópilo notable']
Hebeloma edurum Métrod,Cortinariaceae,Hebeloma,"['Hebeloma sinuosum (Fr.) Q. Ss K-M, non Lange', 'Hebeloma birrum Bres']",,"Seta muy carnosa con un sombrero de 3 a 9 cm de diámetro primero acampanado abriéndose y aplanándose posteriormente. Es de color ocre claro. Las láminas son de color rosa crema oscuro, no muy anchas y el pie es ancho y no muy largo, con la base más gruesa cubierto de fibrillas o escamas del mismo color crema que el pie. La carne puede oler a chocolate o fruta aunque no siempre se aprecia. Las esporas son marrón amarillentas en masa, con verrugas, con forma de almendra, de 9-11 x 5-6 micras",Puede provocar gastroenteritis. Es muy frecuente en bosques de Mallorca y Menorca,"['Mallorca', 'Menorca']","['Alzinar', 'Pinares y otras coníferas']",Tòxic,
Hebeloma sinapizans (Fr.) Sacc,Cortinariaceae,Hebeloma,,,"Esta especie presenta unos sombreros carnosos, gruesos de 7 a 12 cm de diámetro, convexos casi plano. Tienen una superficie lisa y ligeramente viscosa cuando hay humedad. El color va del crema amarillento al avellana más claro en el margen. Las láminas son de color arcilloso o café con leche. Son casi siempre libres, atenuadas y finas. El pie es cilíndrico, robusto, de 5 a 12 x 1 a 3 cm, más claro que el sombrero y presenta pequeñas escamas color terroso distribuidas por zonas. Está vacío y presenta un pequeña lengua característica en la parte superior. Las esporas son amarillo pálido en masa, finamente verrugosas, de 10-15 x 6-9 micras",Destaca por su olor a rábano. Es abundante en casi todos los encinares de la Sierra de Tramuntana,"['Ibiza', 'Mallorca', 'Menorca']",['Alzinar'],Indiferent,
Inocybe bongardii (Weinm.) Quél,Cortinariaceae,Inocybe,,,"Seta de color marrón dorado, con un sombrero de 4-5 cm de diámetro, con un mamellón bien visible cubierto de fibrillas o escamas, que destaca porque estas últimas se hacen patentes y muy apretadas en el disco central, siendo más espaciadas hacia el margen. Las láminas de debajo son marrones por la caida de las esporas con la arista blanca. El pie es largo, ondulado y con restos de velo y las esporas también marrones en masa, elipsoidales, de 10-13 x 6-7 micras",La carne es aromática,"['Cabrera', 'Menorca']",['Pinares y otras coníferas'],Indiferent,
Inocybe heimii Bon,Cortinariaceae,Inocybe,['Inocybe caesariata (Fr.) Karst'],,"Seta de zonas arenosas con un sombrero de hasta 10 cm de diámetro que al principio es convexo para pasar a plano y cubierto en el centro de escamas algodonosas, apretadas y cortas. Es de color marrón ocre brillante, a veces un poco cobrizo. Las láminas son escotadas o un poco decurrentes de color dorado o amarillo oscuro. El pie, largo, acaba con una base bulbosa que engloba restos de arena y presenta una cortina muy visible que permanece mucho tiempo y parece el anillo. Las esporas son ocres en masa, en forma de riñón, de 10-15 x 5-6 micras",,"['Ibiza', 'Mallorca', 'Menorca']",['Dunes'],Indiferent,
Inocybe rimosa (Bull.) P. Kumm,Cortinariaceae,Inocybe,['Inocybe fastigiata (Schaeff.: Fr.) Quél'],,"Seta con un mamellón central en el sombrero. Este es bastante carnoso de 3 a 8 cm de diámetro que muchas veces presenta el margen ondulado. Tiene una cutícula tapizada de fibrillas radiales que se resquebrajan al mismo tiempo que el sombrero. Es de colores variables, de amarillo paja a amarillo miel. Las láminas son finas, ventrudas, desiguales y juntas, de color amarillo pálido a verdoso pasando a ocre y la arista más blanca. El pie es cilíndrico, engrosado en la base y cubierto por fibrillas. Las esporas son color tierra, elipsoidales, de 9-18 x 5-8 micras",Es tóxica por la presencia de muscarina,"['Cabrera', 'Dragonera', 'Formentera', 'Ibiza', 'Mallorca', 'Menorca']","['Alzinar', ""Garriga d'ullastre"", 'Pinares y otras coníferas']",Tòxic,
Inocybe geophylla var. lilacina Gillet,Cortinariaceae,Inocybe,,,"Esta seta presenta un mamellón amarillento bien visible en el sombrero del que contrasta por su color lila. El sombrero de hasta 4 cm de diámetro es viscoso en tiempo húmedo y con restos de cortina. Las láminas son libres, de color arcilla a ocre por la caída de las esporas y el pie también lila se vuelve blanquecino con el tiempo. Los individuos jóvenes presentan cortina. Las esporas son marrones en masa, de ovoides a amigdaliformes, de 9-11 x 5-6 micras",Es una especie tóxica por su elevado contenido en muscarina. No es demasiado frecuente pero sí abundante en los lugares dónde se encuentra,"['Mallorca', 'Menorca']","['Alzinar', 'Pinares y otras coníferas']",Tòxic,
Inocybe godeyi Gillet,Cortinariaceae,Inocybe,,,"El sombrero de esta seta es cónico, de hasta 4 cm de diámetro y presenta un mamellón en forma de punta. Destaca el color ocre anaranjado y cobrizo de esta seta respeto a otras del mismo género que son más apagados. Las láminas, del mismo color que el sombrero son de adnatas a libres y el pie, más largo que el diámetro del sombrero, presenta la base en forma de bulbo. Las esporas son marrones en masa, más o menos elípticas, de 9-12 x 5-7 micras","Es frecuente, pero siempre se encuentran los ejemplares casi aislados","['Mallorca', 'Menorca']","['Alzinar', ""Garriga d'ullastre""]",Indiferent,
Inocybe tarda var. sabulosa J. Beller & Bon,Cortinariaceae,Inocybe,['Inocybe subporospora Kuyper'],,"Seta con sombrero de color beige crema pasando a marrón dorado cuando es adulto. Este mide de 4 a 6 cm de diámetro primero hemisférico y después se abre, con un mamellón en el centro. Las láminas de color blanco y después grisáceo tienen la arista un poco dentada y más blanca. Además, son escotadas. El pie más corto que el diámetro del sombrero, derecho y ligeramente bulboso hacia la base. Es de color blanco y presenta cortina de joven. Las esporas son marronáceas en masa, elípticas, y con un poro en uno de los extremos, de 8-11,5 x 6-7 micras",Se encontró en Cabrera por primera vez en todo el estado español,"['Cabrera', 'Dragonera', 'Formentera', 'Ibiza', 'Mallorca', 'Menorca']",['Pinares y otras coníferas'],Indiferent,
Crepidotus variabilis (Pers.) P. Kumm,Crepidotaceae,Crepidotus,,,"Seta en forma de concha blanquecina, sin pie o rudimentario, con un sombrero de hasta 3 cm de diámetro. La parte superior es algo peluda, dándole una apariencia lanosa. El margen no es uniforme, está retorcido y un poco plegado sobre él mismo a uno de los lados. Está enrollado largo tiempo. Las láminas blanquecinas y finas, no muy juntas y dispuestas radialmente. Las esporas son color tierra claro en masa, elipsoidales de 5-7 x 2,7-3,5 micras",Llama la atención por su forma. No tiene interés culinario por sus dimensiones,['Mallorca'],"['Alzinar', 'Sobre madera muerta, piñas, tocones', 'Sobre plantas leñosas']",Indiferent,
Calocera cornea (Batsch.) Fr,Dacryomycetaceae,Calocera,,,"Seta diminuta amarilla de joven o má anaranjado cuando es más madura, de unos 2 cm de altura, en forma de agujas gruesas. Forman nombrosos grupos de individuos. Las esporas blancas en masa, elípticas, alargadas y acaban en punta en una de las cabezas, de 7-10 x 5-4 micras",Por su pequeño tamaño son difíciles de observar,['Mallorca'],['Sobre plantas leñosas'],Indiferent,
Entoloma undatum (Fr.) M. M. Moser,Entolomataceae,Entoloma,['Eccilia sericeonitida P.D.Orton'],,"Seta beige grisácea de olor a harina que presenta un sombrero de hasta 6 cm de diámetro, hundido y que con la edad adquiere forma de copa. En la zona umbilicada es un poco hirsuto y presenta fibrillas longitudinales hacia los márgenes. Láminas de color más claro que el sombrero, decurrentes y onduladas cerca de los márgenes. El pie está vacío y aplastado, se tiñe de rosa, igual que las láminas por la caída de las esporas. Estas son casi pentagonales, de 9-11 x 5,5-7 micras",Especie sospechosa de toxicidad,"['Cabrera', 'Mallorca', 'Menorca']",['Pinares y otras coníferas'],Tòxic,
Entoloma hirtipes (Scumach.) M. M. Moser,Entolomataceae,Entoloma,,,"Seta que cambia de color marrón oliva, marrón dátil o marrón cobrizo cuando está hidratado volviéndose marrón grisáceo o dorado cuando está seca. Sombrero de 3 a 6 cm de diámetro, con un mamellón central presente tanto inicialmente cuando es cónico como posteriormente cuando pasa a plano. Las láminas son adnatas, a veces casi libres, primero de color pálido y después rosadas por la caída de las esporas. Éstas son rosadas en masa, de 10-14 x 8-9,5 micras. El pie es largo, retorcido hacia la base, pruinoso hacia arriba y algodonoso hacia la base",Se debe rechazar debido a que hay muchas setas del género Entoloma que son tóxicas,['Mallorca'],"['Alzinar', 'Pinares y otras coníferas']",Indiferent,
Entoloma incanum (Fr.) Hesler,Entolomataceae,Entoloma,"['Leptonia incana (Fr.) Quél.', 'Rhodophyllus incanus Quél']",,"Pequeña seta con un sombrero de 1,5 a 3,5 cm de diámetro, convexo y rápidamente hundido en el centro. Tiene variabilidad de colores, del marrón amarillento al verdoso. Fibrillas aplicadas en forma radial de color más oscuro. Las láminas separadas, son blanquecinas volviendose rosadas por las esporas. Éstas son angulosas, de 11-14 x 7,5-9 micras. El pie es largo, fino, cilíndrico y de color verdoso",Poco frecuente y muy vistosa,"['Ibiza', 'Mallorca']","['Camps de conreu, vores de camins']",Indiferent,
Rhodocybe balearica Courtec. & Siquier,Entolomataceae,Rhodocybe,,,"Seta frágil y pequeña que se presenta en gran número de individuos, y tiene un sombrero de 1 a 1,5 cm de diámetro en forma de abanico de color blanco, algodonoso hacia la parte superior y con pelos muy finos. En la parte inferior presenta láminas blancas o cremosas y finalmente marrones por la caída de las esporas, anchas, separadas y con la arista dentada. Las esporas son marrón claro en masa, globosas o con forma de almendra con surcos y de 4,7-7,7 x 4,6-5,8 micras",Es una seta que hasta ahora sólo se ha encontrado en las Baleares,"['Ibiza', 'Mallorca']",['Dunes'],Indiferent,
Rhodocybe gemina (Fr.) Kuyper & Noordel,Entolomataceae,Rhodocybe,,,"El sombrero de esta seta mide hasta 8 cm de diámetro, plano con el centro un poco hundido y de color marrón carne un poco decolorado. El margen es un poco ondulado y excedente, con manchas de color marrón cobrizo en los ejemplares viejos. Las láminas, numerosas, delgadas, apretadas y decurrentes son de color canela claro, más oscuras con la edad. El pie, de color más claro que el sombrero, no es demasiado largo, es fibroso y presenta una zona miceliar en la base que engloba ramitas y acículas de pino, hecho que hace que parezca más grueso. Si olemos la seta huele a harina y si la probamos es un poco amarga. Las esporas blancas en masa y color crema rosado, cuando están secas son elípticas con verrugas, de 6-8 x 4-4,5 micras","No muy frecuente, pero cuando se encuentra aparecen muchos ejemplares juntos","['Cabrera', 'Ibiza', 'Mallorca']",['Pinares y otras coníferas'],,
Ganoderma lucidum (Curtis : Fr.) P. Karst,Ganodermataceae,Ganoderma,"['Ganoderma ostreatum Lázaro', 'Boletus oblicuatus Bull.: St. Amans', 'Polyporus rugosus (Jacq.): E.H.L. krause']","['Paella', 'Pipa']","Seta con forma de pipa que presenta un sombrero orbicular de textura fibrosa con una capa como de barniz, de color amarillento en el margen y que forma capas concéntricas de color marrón rojizo, que se va oscureciendo con la edad. Este sombrero puede llegar a medir hasta 13 cm de diámetro. Debajo del sombrero se encuentran tubos largos, blanquecinos, que con el tiempo pasan a color canela y tiene poros pequeños y tupidos del mismo color. El pie es lateral, cilíndrico, del mismo color y aspecto rojo lacado del sombrero. Las esporas son de color terroso, ovoides, berrugosas, de 10-14 x 6-8,5 micras","Se trata de una seta ornamental que cuando está bien seca y limpia tiene un color brillante que dura mucho tiempo. En Japón lo consideran el hongo de la suerte. No es una seta comestible ya que su carne es coriácea pero en China y Japón se comercializa polvo de pipa para hacer infusiones. También es apreciada en estos países por sus propiedades medicinales, de manera que la cultivan y la comercializan también en forma de inyectables y comprimidos, con esta finalidad","['Mallorca', 'Menorca']",['Alzinar'],Indiferent,"['Paella', 'Pipa']"
Ganoderma applanatum (Pers.) Pat,Ganodermataceae,Ganoderma,"['Polyporus merismoides Corda', 'Fomes nigroporus Lázaro', 'Ungulina subganodermica Lázaro']",,"Seta en forma de cónsola, dura, plana o ondulada, sobre todo en el margen. Puede medir hasta 50 cm de diámetro y 10 cm de grueso. La parte superior presenta zonas concéntricas y es de color marrón. El margen, en cambio, es blanco en estado fresco. Tiene tubos estratificados en capas anulares y poros pequeños y blancos al principio, volviéndose marrón cobrizos. Las esporas son marrón oscuro en masa, elípticas, lisas, hialinas, con doble pared, de 7-8 x 5-6 micras",Seta que puede vivir muchos años y se puede comportar como saprófito o como parásito,['Mallorca'],"['Alzinar', 'Sobre plantas leñosas']",Indiferent,
Geastrum fimbriatum Fr,Geastraceae,Geastrum,"['Geastrum sessile (Sow.) Puzar', 'Geastrum tunicatum Vitt. ', 'Geastrum djakovense Schulzer']",,"Seta en forma de estrella, de 3 a 6 cm de diámetro cuando está abierto. Está dividido en 5-9 lacínias triangulares y muy curvadas, de color blanquecino. La capa miceliana es de color marrón y cubierta de tierra, capa fibrosa de color crema blanquecina. La parte interior es de color crema, de 1,5 a 3 cm en forma de saco redondeado con una perforación apical por donde salen las esporas. Éstas son de color amarillo a marrón pálido en masa, esféricas, un poco erizadas, de 3-4 micras",Muy común en las Islas,"['Cabrera', 'Dragonera', 'Formentera', 'Ibiza', 'Mallorca', 'Menorca']",['Pinares y otras coníferas'],Indiferent,
Geastrum triplex Jungh,Geastraceae,Geastrum,"['Geastrum michelianum W.G.Smith ', 'Geastrum kalchbrenneri Haszl ', 'Geastrum pilotii Roze']",['Estrelletes'],"Seta en forma de estrella, de 3 a 8 cm de diámetro. Cuando es joven está cerrada y con la edad se abre diferenciándose tres estratos del peridio (envoltura del aparato esporífero): exoperidio, mesoperidio y endoperidio. El exoperidio corresponde a la parte exterior del carpóforo y está fragmentado en 5-7 brazos incurvados, más o menos triangulares, denominados lacínias, lo que le da un aspecto de estrella. El mesoperidio se presenta como una capa carnosa a menudo formando una especie de collar muy típico. El endoperidio es sésil, subgloboso, membranoso, de 2 a 4 cm, de color crema. La gleva es de color blanquecino cuando la seta es joven y va volviéndose marrón oscuro con la edad. Las esporas son de color chocolate en masa, redondas y cubiertas de pequeñas berrugas cilíndricas, de 3- 5,4 micras",És freqüent,"['Mallorca', 'Menorca']","['Alzinar', 'Pinares y otras coníferas']",Indiferent,
Geastrum schmidelii Vittad,Geastraceae,Geastrum,['Geastrum nanum Pers'],,"Seta con forma de estrella de 1 a 3,5 cm de diámetro, dividido en 7 a 10 lacínias. El interior es ovoide, pedicelado, de color marrón o grisáceo. El peristoma (lugar donde se contienen las esporas) es puntiagudo, de color más oscuro, delimitado y surcado. Las esporas son marrones en masa, subglobosas, verrugosas, de 5-7 micras",,['Mallorca'],['Pinares y otras coníferas'],Indiferent,
Geoglossum umbratile Sacc,Geoglossaceae,Geoglossum,['Geoglossum nigritum Cooke'],,"Seta de color negro brillante de hasta 2 cm de altura, en forma de espátula formada por un pie y una cabeza (parte fértil) en forma de lengua, casi cilíndrica a veces. El pie es cilíndrico o un poco retorcido y puede medir hasta 4 cm. Las esporas son alargadas con 7-8 compartimentos transversales, de 65-80 x 5-6 micras","Es de crecimiento gregario, en grupos más o menos numerosos de individuos cercanos unos de los otros",['Mallorca'],['Zones humides'],Indiferent,
Melastiza chateri (W.G. Sm.) Boud,Geoglossaceae,Melastiza,,,"Llama la atención por su color naranja intenso. Tiene forma de copa al principio pasando a ser plano y más o menos ondulado, hasta 1,5 cm de diámetro y con el himenio rojizo en la parte interna. La superficie externa del mismo color está cubierta de pelos cortos marronosos. Las esporas son elípticas, con los extremos más finos y ornamentadas con una red gruesa a manera de retículo muy vistosa, que en los extremos presenta espinas cortas, de 16-19 x 8-10 micras, sin contar el retículo que puede medir hasta 4 micres de altura",Sólo se ha encontrado en un camino del Jardín Botánico del Museo de Ciencias de Sóller,['Mallorca'],"['Camps de conreu, vores de camins', 'Pastos, prados y jardines', 'Zones humides']",Indiferent,
Chroogomphus rutilus (Schaeff.) O.K. Mill,Gomphidiaceae,Chroogomphus,"['Gomphidius viscilus L.: Fr. ', 'Gomphidius rutilus (Schff.: Fr.) Lund. E Nannf.', 'Agaricus viscidus L']","['Cama de perdiu', 'Pebrasset de moro', 'Pota de perdiu', 'Ull de perdiu']","Presenta un sombrero carnoso, liso, brillante y viscoso de 3 a 8 cm de diámetro en forma de campana con un mamellón central. Color rojizo tierra con reflejos color azafrán hacia el margen que es fino y un poco curbado interiormente. Debajo del sombrero presenta unas láminas decurrentes y espaciadas, gruesas y blandas de color marrón púrpura casi negras. Presenta un pie cilíndrico, largo y fino en comparación con el sombrero, de 3 a 8 cm normalmente por 5 a 10 mm de diámetro un poco curvado en la base, de color amarillo. Las esporas son de color tierra oscuro o casi negras, de 16-22 x 6-8 micras","Buen comestible, aunque hay gente que lo rechaza porque cuando está cocido se vuelve de color violáceo. Es corriente en todas las Islas","['Cabrera', 'Dragonera', 'Formentera', 'Ibiza', 'Mallorca', 'Menorca']",['Pinares y otras coníferas'],Comestible,['Gomfidio reluciente']
